instant;date;month;hour;holiday;weekday;workingday;weather;temperature;humidity;windspeed;count
54;2012-12-19;12;15;0.00;3;True;clear;11.74;50.00;19.00;237
55;2012-10-05;10;2;0.00;5;True;clear;17.38;73.00;6.00;11
56;2012-01-20;1;17;0.00;5;True;cloudy;2.34;32.00;6.00;349
57;2012-01-20;1;0;0.00;5;True;cloudy;4.22;48.00;20.00;27
58;2012-03-26;3;20;0.00;1;True;clear;10.80;26.00;35.00;221
59;2012-03-29;3;10;0.00;4;True;clear;13.62;47.00;30.00;166
60;2012-07-24;7;22;0.00;2;True;clear;26.78;66.00;17.00;269
61;2012-01-13;1;0;0.00;5;True;cloudy;10.80;71.00;19.00;42
62;2012-04-15;4;12;0.00;0;False;clear;22.08;44.00;19.00;635
63;2012-02-24;2;11;0.00;5;True;cloudy;8.92;81.00;7.00;163
64;2012-03-15;3;10;0.00;4;True;clear;16.44;68.00;7.00;164
65;2012-02-04;2;20;0.00;6;False;light rain/snow;3.28;93.00;13.00;77
66;2012-12-23;12;17;0.00;0;False;clear;7.04;49.00;13.00;114
67;2012-06-29;6;13;0.00;5;True;clear;36.18;38.00;13.00;239
68;2012-12-07;12;4;0.00;5;True;clear;4.22;75.00;7.00;10
69;2012-12-03;12;23;0.00;1;True;clear;11.74;82.00;7.00;102
70;2012-10-13;10;5;0.00;6;False;clear;6.10;61.00;13.00;11
71;2012-08-14;8;10;0.00;2;True;clear;24.90;79.00;7.00;208
72;2012-07-20;7;10;0.00;5;True;cloudy;24.90;79.00;11.00;233
73;2012-02-08;2;0;0.00;3;True;clear;6.10;56.00;15.00;23
74;2012-07-17;7;22;0.00;2;True;clear;29.60;55.00;15.00;244
75;2012-11-02;11;6;0.00;5;True;clear;6.10;70.00;11.00;122
76;2012-07-09;7;13;0.00;1;True;cloudy;27.72;55.00;17.00;255
77;2012-01-30;1;21;0.00;1;True;clear;6.10;42.00;11.00;162
78;2012-12-03;12;8;0.00;1;True;clear;8.92;93.00;0.00;731
79;2012-11-10;11;0;0.00;6;False;clear;7.04;76.00;6.00;122
80;2012-01-09;1;18;0.00;1;True;heavy rain/snow;1.40;86.00;6.00;164
81;2012-07-30;7;22;0.00;1;True;cloudy;24.90;74.00;15.00;230
82;2012-06-05;6;18;0.00;2;True;clear;20.20;43.00;13.00;790
83;2012-11-11;11;14;0.00;0;False;clear;20.20;33.00;11.00;654
84;2012-05-06;5;18;0.00;0;False;cloudy;21.14;61.00;13.00;463
85;2012-06-25;6;6;0.00;1;True;clear;22.08;78.00;11.00;158
86;2012-02-28;2;8;0.00;2;True;clear;4.22;48.00;19.00;559
87;2012-07-02;7;12;0.00;1;True;clear;31.48;32.00;13.00;257
88;2012-09-22;9;10;0.00;6;False;clear;23.02;65.00;22.00;474
89;2012-08-15;8;4;0.00;3;True;clear;22.08;83.00;7.00;4
90;2012-09-03;9;16;1.00;1;False;clear;26.78;70.00;15.00;500
91;2012-07-31;7;18;0.00;2;True;clear;27.72;55.00;19.00;857
92;2012-06-07;6;6;0.00;4;True;clear;13.62;88.00;7.00;170
93;2012-08-12;8;8;0.00;0;False;clear;23.02;54.00;15.00;119
94;2012-01-02;1;4;1.00;1;False;clear;5.16;45.00;22.00;4
95;2012-05-03;5;22;0.00;4;True;clear;21.14;78.00;0.00;246
96;2012-05-27;5;15;0.00;0;False;clear;28.66;52.00;19.00;535
97;2012-07-21;7;7;0.00;6;False;cloudy;19.26;88.00;17.00;37
98;2012-08-11;8;10;0.00;6;False;clear;25.84;62.00;6.00;407
99;2012-12-14;12;18;0.00;5;True;clear;8.92;46.00;9.00;455
100;2012-08-20;8;17;0.00;1;True;clear;24.90;58.00;19.00;893
101;2012-06-19;6;15;0.00;2;True;clear;28.66;59.00;11.00;259
102;2012-01-22;1;15;0.00;0;False;cloudy;-0.48;80.00;13.00;176
103;2012-04-25;4;19;0.00;3;True;clear;20.20;20.00;13.00;543
104;2012-01-03;1;22;0.00;2;True;clear;-3.30;46.00;17.00;33
105;2012-02-22;2;2;0.00;3;True;clear;7.98;66.00;19.00;6
106;2012-09-28;9;6;0.00;5;True;cloudy;18.32;94.00;6.00;138
107;2012-06-01;6;19;0.00;5;True;light rain/snow;21.14;88.00;24.00;45
108;2012-11-11;11;12;0.00;0;False;clear;15.50;48.00;6.00;585
109;2012-10-13;10;4;0.00;6;False;clear;6.10;65.00;11.00;11
110;2012-09-09;9;17;0.00;0;False;clear;24.90;37.00;17.00;671
111;2012-11-15;11;3;0.00;4;True;cloudy;4.22;70.00;6.00;2
112;2012-07-11;7;13;0.00;3;True;cloudy;29.60;42.00;11.00;273
113;2012-06-29;6;3;0.00;5;True;clear;25.84;58.00;13.00;8
114;2012-12-20;12;13;0.00;4;True;cloudy;8.92;57.00;13.00;217
115;2012-10-31;10;16;0.00;3;True;cloudy;11.74;54.00;15.00;424
116;2012-08-25;8;20;0.00;6;False;light rain/snow;21.14;83.00;17.00;241
117;2012-05-29;5;18;0.00;2;True;clear;29.60;49.00;33.00;710
118;2012-07-13;7;11;0.00;5;True;cloudy;27.72;45.00;9.00;288
119;2012-09-03;9;23;1.00;1;False;cloudy;24.90;84.00;17.00;70
120;2012-04-24;4;23;0.00;2;True;clear;11.74;38.00;6.00;73
121;2012-02-21;2;21;0.00;2;True;clear;7.98;61.00;11.00;154
122;2012-03-26;3;16;0.00;1;True;clear;14.56;25.00;43.00;305
123;2012-09-04;9;3;0.00;2;True;cloudy;23.02;89.00;6.00;10
124;2012-05-03;5;4;0.00;4;True;cloudy;13.62;88.00;17.00;2
125;2012-04-05;4;20;0.00;4;True;clear;12.68;41.00;13.00;312
126;2012-08-22;8;12;0.00;3;True;clear;26.78;51.00;0.00;312
127;2012-03-29;3;18;0.00;4;True;clear;15.50;39.00;20.00;681
128;2012-02-25;2;16;0.00;6;False;clear;7.04;26.00;39.00;195
129;2012-04-22;4;19;0.00;0;False;light rain/snow;8.92;87.00;35.00;35
130;2012-04-23;4;8;0.00;1;True;cloudy;6.10;75.00;22.00;482
131;2012-03-17;3;11;0.00;6;False;cloudy;16.44;77.00;9.00;585
132;2012-10-04;10;12;0.00;4;True;cloudy;25.84;54.00;13.00;288
133;2012-04-16;4;19;1.00;1;False;clear;27.72;35.00;26.00;522
134;2012-10-30;10;16;0.00;2;True;light rain/snow;6.10;87.00;17.00;98
135;2012-01-29;1;6;0.00;0;False;clear;1.40;40.00;7.00;5
136;2012-08-28;8;20;0.00;2;True;clear;25.84;48.00;7.00;435
137;2012-03-17;3;12;0.00;6;False;clear;18.32;68.00;11.00;651
138;2012-09-12;9;10;0.00;3;True;clear;21.14;61.00;9.00;205
139;2012-04-18;4;8;0.00;3;True;light rain/snow;15.50;39.00;13.00;576
140;2012-03-16;3;17;0.00;5;True;light rain/snow;14.56;82.00;6.00;258
141;2012-04-11;4;9;0.00;3;True;cloudy;7.04;49.00;20.00;302
142;2012-12-01;12;22;0.00;6;False;cloudy;6.10;87.00;0.00;147
143;2012-06-18;6;0;0.00;1;True;clear;18.32;73.00;17.00;40
144;2012-12-19;12;13;0.00;3;True;clear;11.74;50.00;13.00;213
145;2012-09-29;9;7;0.00;6;False;clear;14.56;67.00;19.00;73
146;2012-09-14;9;20;0.00;5;True;clear;23.02;61.00;7.00;404
147;2012-01-05;1;10;0.00;4;True;cloudy;3.28;52.00;6.00;86
148;2012-10-21;10;22;0.00;0;False;clear;11.74;54.00;0.00;113
149;2012-08-26;8;20;0.00;0;False;clear;22.08;89.00;11.00;211
150;2012-02-25;2;12;0.00;6;False;clear;7.04;29.00;44.00;258
151;2012-09-20;9;5;0.00;4;True;clear;12.68;77.00;7.00;56
152;2012-11-17;11;11;0.00;6;False;clear;9.86;43.00;13.00;423
153;2012-02-09;2;20;0.00;4;True;clear;7.04;36.00;0.00;199
154;2012-07-27;7;16;0.00;5;True;clear;31.48;47.00;15.00;499
155;2012-09-30;9;3;0.00;0;False;clear;13.62;67.00;6.00;58
156;2012-01-16;1;14;1.00;1;False;clear;3.28;44.00;26.00;181
157;2012-06-12;6;11;0.00;2;True;light rain/snow;23.02;83.00;24.00;65
158;2012-10-04;10;5;0.00;4;True;light rain/snow;22.08;89.00;7.00;39
159;2012-02-05;2;22;0.00;0;False;clear;4.22;60.00;7.00;191
160;2012-05-17;5;4;0.00;4;True;clear;20.20;64.00;22.00;16
161;2012-03-22;3;12;0.00;4;True;cloudy;17.38;88.00;13.00;272
162;2012-10-18;10;14;0.00;4;True;cloudy;21.14;50.00;20.00;285
163;2012-07-30;7;6;0.00;1;True;clear;23.02;83.00;11.00;161
164;2012-08-16;8;11;0.00;4;True;clear;27.72;37.00;6.00;274
165;2012-06-09;6;14;0.00;6;False;clear;30.54;23.00;13.00;593
166;2012-10-01;10;12;0.00;1;True;cloudy;20.20;43.00;11.00;323
167;2012-08-18;8;13;0.00;6;False;clear;26.78;40.00;13.00;644
168;2012-12-12;12;0;0.00;3;True;clear;6.10;52.00;11.00;34
169;2012-09-17;9;15;0.00;1;True;cloudy;22.08;65.00;17.00;338
170;2012-01-01;1;17;0.00;0;False;cloudy;14.56;48.00;11.00;111
171;2012-05-04;5;3;0.00;5;True;clear;18.32;88.00;15.00;14
172;2012-11-26;11;3;0.00;1;True;clear;1.40;69.00;0.00;5
173;2012-02-14;2;23;0.00;2;True;cloudy;8.92;50.00;6.00;57
174;2012-08-27;8;0;0.00;1;True;clear;21.14;83.00;0.00;32
175;2012-05-07;5;18;0.00;1;True;cloudy;20.20;53.00;24.00;680
176;2012-03-12;3;16;0.00;1;True;clear;21.14;35.00;30.00;332
177;2012-11-19;11;2;0.00;1;True;cloudy;8.92;66.00;17.00;5
178;2012-03-27;3;10;0.00;2;True;clear;4.22;35.00;15.00;138
179;2012-08-03;8;0;0.00;5;True;clear;25.84;70.00;13.00;71
180;2012-08-03;8;20;0.00;5;True;cloudy;28.66;66.00;15.00;389
181;2012-02-10;2;8;0.00;5;True;clear;1.40;59.00;11.00;448
182;2012-09-24;9;21;0.00;1;True;clear;15.50;51.00;9.00;256
183;2012-08-12;8;16;0.00;0;False;clear;27.72;40.00;7.00;513
184;2012-06-19;6;23;0.00;2;True;clear;25.84;79.00;9.00;125
185;2012-12-19;12;9;0.00;3;True;clear;5.16;75.00;7.00;317
186;2012-07-11;7;10;0.00;3;True;cloudy;25.84;62.00;9.00;195
187;2012-02-20;2;18;1.00;1;False;clear;7.98;34.00;15.00;242
188;2012-06-19;6;16;0.00;2;True;clear;29.60;55.00;15.00;334
189;2012-11-14;11;23;0.00;3;True;clear;3.28;70.00;9.00;87
190;2012-03-26;3;10;0.00;1;True;clear;15.50;36.00;39.00;153
191;2012-12-27;12;9;0.00;4;True;clear;4.22;60.00;33.00;133
192;2012-08-15;8;2;0.00;3;True;clear;23.96;65.00;0.00;8
193;2012-07-29;7;16;0.00;0;False;clear;29.60;43.00;9.00;521
194;2012-09-17;9;19;0.00;1;True;cloudy;21.14;73.00;7.00;486
195;2012-02-23;2;2;0.00;4;True;cloudy;12.68;62.00;15.00;9
196;2012-02-12;2;2;0.00;0;False;cloudy;-3.30;58.00;39.00;27
197;2012-07-25;7;14;0.00;3;True;clear;29.60;29.00;9.00;247
198;2012-02-09;2;8;0.00;4;True;clear;1.40;64.00;17.00;484
199;2012-09-22;9;7;0.00;6;False;clear;19.26;78.00;17.00;77
200;2012-09-08;9;19;0.00;6;False;light rain/snow;19.26;88.00;7.00;215
201;2012-06-18;6;18;0.00;1;True;cloudy;21.14;69.00;11.00;642
202;2012-10-21;10;4;0.00;0;False;clear;8.92;71.00;11.00;21
203;2012-10-21;10;7;0.00;0;False;clear;10.80;62.00;0.00;56
204;2012-05-19;5;1;0.00;6;False;clear;15.50;48.00;0.00;104
205;2012-11-14;11;13;0.00;3;True;clear;8.92;43.00;17.00;214
206;2012-02-23;2;9;0.00;4;True;clear;8.92;81.00;17.00;242
207;2012-06-29;6;7;0.00;5;True;clear;24.90;61.00;7.00;380
208;2012-08-12;8;2;0.00;0;False;clear;22.08;69.00;9.00;86
209;2012-03-17;3;8;0.00;6;False;cloudy;11.74;94.00;7.00;218
210;2012-12-06;12;10;0.00;4;True;clear;3.28;52.00;13.00;145
211;2012-11-25;11;17;0.00;0;False;clear;5.16;41.00;11.00;181
212;2012-12-27;12;3;0.00;4;True;cloudy;3.28;87.00;15.00;1
213;2012-10-13;10;11;0.00;6;False;clear;11.74;35.00;9.00;527
214;2012-07-02;7;14;0.00;1;True;clear;32.42;34.00;15.00;230
215;2012-11-30;11;14;0.00;5;True;cloudy;10.80;40.00;7.00;251
216;2012-03-01;3;12;0.00;4;True;clear;18.32;37.00;15.00;220
217;2012-03-12;3;23;0.00;1;True;clear;18.32;56.00;15.00;63
218;2012-07-28;7;6;0.00;6;False;clear;24.90;70.00;7.00;50
219;2012-12-23;12;11;0.00;0;False;clear;3.28;52.00;13.00;152
220;2012-08-19;8;10;0.00;0;False;cloudy;23.96;69.00;0.00;425
221;2012-05-30;5;6;0.00;3;True;cloudy;20.20;78.00;7.00;144
222;2012-02-28;2;3;0.00;2;True;clear;10.80;32.00;24.00;6
223;2012-10-01;10;2;0.00;1;True;clear;13.62;72.00;0.00;12
224;2012-05-21;5;5;0.00;1;True;light rain/snow;18.32;88.00;20.00;15
225;2012-02-10;2;4;0.00;5;True;clear;4.22;56.00;6.00;2
226;2012-02-08;2;1;0.00;3;True;clear;5.16;61.00;11.00;10
227;2012-08-10;8;10;0.00;5;True;clear;23.02;89.00;7.00;193
228;2012-06-26;6;11;0.00;2;True;clear;22.08;36.00;28.00;235
229;2012-02-03;2;8;0.00;5;True;clear;3.28;65.00;15.00;441
230;2012-06-16;6;16;0.00;6;False;cloudy;25.84;37.00;7.00;542
231;2012-08-14;8;5;0.00;2;True;cloudy;23.96;89.00;13.00;36
232;2012-02-29;2;8;0.00;3;True;cloudy;5.16;75.00;7.00;116
233;2012-05-20;5;14;0.00;0;False;clear;25.84;39.00;26.00;543
234;2012-08-08;8;8;0.00;3;True;cloudy;26.78;72.00;6.00;737
235;2012-11-18;11;20;0.00;0;False;clear;8.92;66.00;11.00;129
236;2012-12-04;12;22;0.00;2;True;cloudy;15.50;63.00;20.00;181
237;2012-08-06;8;16;0.00;1;True;clear;31.48;41.00;7.00;451
238;2012-08-07;8;20;0.00;2;True;cloudy;26.78;70.00;9.00;448
239;2012-06-22;6;8;0.00;5;True;clear;27.72;55.00;9.00;613
240;2012-07-01;7;23;0.00;0;False;light rain/snow;28.66;52.00;11.00;110
241;2012-05-25;5;13;0.00;5;True;clear;26.78;62.00;9.00;333
242;2012-04-30;4;10;0.00;1;True;cloudy;11.74;41.00;11.00;157
243;2012-01-27;1;7;0.00;5;True;cloudy;11.74;100.00;20.00;134
244;2012-08-26;8;3;0.00;0;False;cloudy;22.08;89.00;17.00;53
245;2012-10-24;10;21;0.00;3;True;cloudy;21.14;61.00;7.00;313
246;2012-04-05;4;3;0.00;4;True;clear;11.74;41.00;20.00;5
247;2012-03-15;3;13;0.00;4;True;cloudy;23.02;41.00;6.00;273
248;2012-02-18;2;8;0.00;6;False;clear;2.34;87.00;0.00;102
249;2012-08-20;8;5;0.00;1;True;cloudy;20.20;83.00;0.00;37
250;2012-05-04;5;11;0.00;5;True;cloudy;24.90;61.00;0.00;258
251;2012-07-12;7;7;0.00;4;True;clear;22.08;73.00;9.00;512
252;2012-10-22;10;23;0.00;1;True;clear;13.62;82.00;7.00;163
253;2012-12-16;12;17;0.00;0;False;cloudy;9.86;82.00;7.00;243
254;2012-06-01;6;5;0.00;5;True;cloudy;21.14;78.00;6.00;45
255;2012-12-28;12;21;0.00;5;True;cloudy;3.28;70.00;9.00;92
256;2012-09-09;9;9;0.00;0;False;clear;21.14;61.00;17.00;299
257;2012-04-16;4;9;1.00;1;False;clear;21.14;69.00;15.00;297
258;2012-01-02;1;19;1.00;1;False;clear;3.28;38.00;15.00;93
259;2012-01-31;1;11;0.00;2;True;clear;10.80;37.00;19.00;139
260;2012-12-19;12;8;0.00;3;True;clear;3.28;87.00;7.00;678
261;2012-02-18;2;12;0.00;6;False;clear;8.92;43.00;13.00;369
262;2012-02-03;2;2;0.00;5;True;clear;6.10;52.00;15.00;6
263;2012-08-13;8;19;0.00;1;True;clear;26.78;58.00;11.00;555
264;2012-04-30;4;19;0.00;1;True;cloudy;17.38;64.00;17.00;471
265;2012-07-01;7;20;0.00;0;False;clear;31.48;39.00;9.00;332
266;2012-12-26;12;12;0.00;3;True;light rain/snow;2.34;87.00;22.00;10
267;2012-07-07;7;11;0.00;6;False;clear;36.18;38.00;13.00;367
268;2012-09-23;9;3;0.00;0;False;clear;14.56;55.00;20.00;54
269;2012-09-29;9;14;0.00;6;False;clear;20.20;40.00;17.00;750
270;2012-05-17;5;15;0.00;4;True;clear;22.08;36.00;17.00;316
271;2012-03-20;3;8;0.00;2;True;cloudy;16.44;88.00;7.00;516
272;2012-05-14;5;12;0.00;1;True;cloudy;18.32;88.00;19.00;185
273;2012-10-12;10;2;0.00;5;True;clear;10.80;66.00;6.00;16
274;2012-03-29;3;2;0.00;4;True;clear;20.20;28.00;20.00;6
275;2012-03-18;3;4;0.00;0;False;cloudy;11.74;94.00;11.00;14
276;2012-09-08;9;20;0.00;6;False;cloudy;19.26;88.00;6.00;194
277;2012-03-10;3;11;0.00;6;False;clear;6.10;33.00;22.00;274
278;2012-04-12;4;13;0.00;4;True;clear;14.56;36.00;30.00;203
279;2012-03-25;3;12;0.00;0;False;cloudy;10.80;94.00;15.00;360
280;2012-04-15;4;17;0.00;0;False;clear;24.90;42.00;22.00;623
281;2012-01-23;1;1;0.00;1;True;cloudy;0.46;86.00;7.00;4
282;2012-02-16;2;23;0.00;4;True;clear;7.04;81.00;6.00;73
283;2012-06-09;6;7;0.00;6;False;clear;19.26;64.00;7.00;87
284;2012-04-15;4;6;0.00;0;False;clear;15.50;63.00;9.00;16
285;2012-11-19;11;3;0.00;1;True;cloudy;8.92;66.00;15.00;2
286;2012-05-30;5;9;0.00;3;True;cloudy;21.14;69.00;13.00;305
287;2012-12-11;12;7;0.00;2;True;clear;7.98;66.00;28.00;380
288;2012-03-25;3;8;0.00;0;False;cloudy;10.80;94.00;22.00;89
289;2012-08-17;8;1;0.00;5;True;clear;23.02;65.00;7.00;54
290;2012-07-17;7;12;0.00;2;True;cloudy;34.30;35.00;0.00;254
291;2012-10-09;10;22;0.00;2;True;cloudy;14.56;77.00;6.00;162
292;2012-10-22;10;12;0.00;1;True;clear;19.26;35.00;0.00;283
293;2012-07-25;7;18;0.00;3;True;clear;29.60;27.00;9.00;891
294;2012-07-13;7;7;0.00;5;True;cloudy;24.90;54.00;0.00;380
295;2012-05-01;5;1;0.00;2;True;cloudy;15.50;63.00;9.00;21
296;2012-11-07;11;0;0.00;3;True;cloudy;6.10;56.00;19.00;283
297;2012-04-26;4;21;0.00;4;True;clear;16.44;83.00;15.00;250
298;2012-04-08;4;12;0.00;0;False;clear;17.38;24.00;17.00;457
299;2012-02-09;2;10;0.00;4;True;clear;2.34;51.00;15.00;97
300;2012-04-04;4;8;0.00;3;True;cloudy;12.68;72.00;7.00;684
301;2012-05-16;5;4;0.00;3;True;clear;17.38;94.00;9.00;4
302;2012-05-14;5;20;0.00;1;True;cloudy;19.26;88.00;13.00;189
303;2012-02-11;2;0;0.00;6;False;cloudy;6.10;70.00;9.00;53
304;2012-03-09;3;23;0.00;5;True;clear;7.04;33.00;20.00;86
305;2012-10-21;10;14;0.00;0;False;clear;18.32;35.00;13.00;640
306;2012-11-24;11;13;0.00;6;False;clear;7.04;36.00;22.00;225
307;2012-10-28;10;3;0.00;0;False;cloudy;15.50;63.00;22.00;79
308;2012-05-29;5;19;0.00;2;True;clear;28.66;52.00;24.00;526
309;2012-12-29;12;18;0.00;6;False;clear;6.10;70.00;13.00;110
310;2012-02-25;2;18;0.00;6;False;clear;6.10;28.00;39.00;133
311;2012-09-27;9;0;0.00;4;True;clear;20.20;78.00;6.00;65
312;2012-11-09;11;4;0.00;5;True;clear;7.04;53.00;24.00;14
313;2012-07-29;7;14;0.00;0;False;clear;29.60;46.00;13.00;522
314;2012-06-04;6;15;0.00;1;True;clear;23.02;39.00;20.00;292
315;2012-09-20;9;12;0.00;4;True;clear;21.14;43.00;9.00;290
316;2012-08-29;8;7;0.00;3;True;clear;22.08;65.00;6.00;554
317;2012-02-23;2;21;0.00;4;True;clear;12.68;51.00;15.00;222
318;2012-08-11;8;11;0.00;6;False;clear;26.78;66.00;11.00;499
319;2012-07-03;7;21;0.00;2;True;cloudy;24.90;70.00;19.00;196
320;2012-01-24;1;14;0.00;2;True;clear;8.92;81.00;15.00;173
321;2012-11-08;11;5;0.00;4;True;cloudy;6.10;42.00;15.00;35
322;2012-09-23;9;6;0.00;0;False;clear;12.68;62.00;17.00;16
323;2012-01-14;1;19;0.00;6;False;clear;1.40;47.00;15.00;102
324;2012-11-14;11;7;0.00;3;True;clear;3.28;65.00;19.00;415
325;2012-04-22;4;5;0.00;0;False;cloudy;12.68;77.00;15.00;6
326;2012-01-16;1;4;1.00;1;False;clear;-2.36;58.00;7.00;8
327;2012-06-23;6;18;0.00;6;False;clear;30.54;26.00;20.00;481
328;2012-08-24;8;7;0.00;5;True;cloudy;22.08;78.00;0.00;425
329;2012-12-27;12;11;0.00;4;True;cloudy;5.16;56.00;30.00;103
330;2012-04-15;4;10;0.00;0;False;clear;19.26;53.00;15.00;421
331;2012-09-25;9;21;0.00;2;True;clear;20.20;56.00;20.00;297
332;2012-06-26;6;8;0.00;2;True;clear;18.32;49.00;22.00;656
333;2012-04-15;4;9;0.00;0;False;clear;17.38;56.00;15.00;251
334;2012-09-28;9;16;0.00;5;True;cloudy;23.02;50.00;15.00;502
335;2012-10-19;10;12;0.00;5;True;clear;22.08;69.00;15.00;332
336;2012-08-13;8;18;0.00;1;True;clear;27.72;52.00;19.00;812
337;2012-06-26;6;6;0.00;2;True;clear;16.44;52.00;20.00;188
338;2012-12-12;12;12;0.00;3;True;cloudy;7.98;42.00;0.00;232
339;2012-10-27;10;4;0.00;6;False;cloudy;15.50;88.00;11.00;13
340;2012-08-08;8;21;0.00;3;True;clear;26.78;66.00;7.00;381
341;2012-03-29;3;12;0.00;4;True;clear;15.50;42.00;33.00;292
342;2012-05-10;5;17;0.00;4;True;clear;20.20;31.00;26.00;732
343;2012-06-01;6;20;0.00;5;True;light rain/snow;21.14;94.00;17.00;39
344;2012-11-01;11;11;0.00;4;True;light rain/snow;8.92;62.00;13.00;170
345;2012-06-12;6;21;0.00;2;True;clear;23.96;83.00;7.00;274
346;2012-05-11;5;10;0.00;5;True;clear;16.44;36.00;22.00;210
347;2012-10-17;10;18;0.00;3;True;clear;16.44;59.00;11.00;884
348;2012-07-15;7;13;0.00;0;False;clear;32.42;41.00;7.00;480
349;2012-02-11;2;19;0.00;6;False;cloudy;1.40;40.00;37.00;87
350;2012-02-22;2;4;0.00;3;True;clear;7.98;71.00;11.00;2
351;2012-10-16;10;3;0.00;2;True;clear;11.74;67.00;7.00;2
352;2012-01-09;1;0;0.00;1;True;clear;3.28;60.00;15.00;15
353;2012-12-02;12;7;0.00;0;False;cloudy;3.28;93.00;9.00;31
354;2012-06-10;6;3;0.00;0;False;clear;22.08;73.00;7.00;29
355;2012-10-06;10;0;0.00;6;False;clear;18.32;83.00;11.00;191
356;2012-03-14;3;1;0.00;3;True;clear;16.44;63.00;6.00;27
357;2012-05-30;5;13;0.00;3;True;clear;24.90;51.00;0.00;289
358;2012-10-16;10;18;0.00;2;True;clear;15.50;42.00;11.00;838
